ID,MONTHS_BALANCE,STATUS
5000100,0,C
5000100,-1,C
5000100,-2,0
5000100,-3,C
5000100,-4,1
5000100,-5,1
5000100,-6,C
5000100,-7,C
5000100,-8,C
5000100,-9,C
5000100,-10,C
5000100,-11,C
5000100,-12,X
5000100,-13,C
5000100,-14,C
5000100,-15,X
5000101,0,C
5000101,-1,C
5000101,-2,1
5000101,-3,0
5000101,-4,0
5000101,-5,0
5000101,-6,C
5000101,-7,1
5000101,-8,0
5000101,-9,C
5000101,-10,0
5000101,-11,X
5000101,-12,C
5000101,-13,X
5000101,-14,C
5000101,-15,0
5000101,-16,0
5000102,0,C
5000102,-1,0
5000102,-2,X
5000102,-3,X
5000102,-4,0
5000102,-5,C
5000102,-6,C
5000102,-7,C
5000102,-8,C
5000102,-9,0
5000102,-10,C
5000102,-11,X
5000102,-12,C
5000102,-13,C
5000102,-14,C
5000102,-15,C
5000102,-16,C
5000102,-17,0
5000102,-18,1
5000102,-19,C
5000102,-20,C
5000102,-21,X
5000102,-22,C
5000102,-23,C
5000102,-24,0
5000102,-25,C
5000102,-26,X
5000102,-27,C
5000102,-28,X
5000102,-29,0
5000102,-30,C
5000102,-31,0
5000102,-32,C
5000103,0,C
5000103,-1,C
5000103,-2,0
5000103,-3,X
5000103,-4,0
5000103,-5,X
5000103,-6,0
5000103,-7,0
5000103,-8,C
5000103,-9,0
5000103,-10,C
5000103,-11,0
5000103,-12,0
5000103,-13,X
5000103,-14,X
5000103,-15,C
5000103,-16,C
5000103,-17,C
5000103,-18,C
5000103,-19,0
5000103,-20,C
5000103,-21,X
5000103,-22,0
5000103,-23,C
5000103,-24,0
5000104,0,C
5000104,-1,X
5000104,-2,0
5000104,-3,0
5000104,-4,C
5000104,-5,C
5000104,-6,C
5000104,-7,C
5000104,-8,C
5000104,-9,0
5000104,-10,X
5000104,-11,X
5000104,-12,C
5000104,-13,C
5000104,-14,2
5000104,-15,0
5000104,-16,0
5000104,-17,C
5000104,-18,0
5000104,-19,0
5000104,-20,C
5000104,-21,C
5000105,0,C
5000105,-1,0
5000105,-2,C
5000105,-3,C
5000105,-4,C
5000105,-5,C
5000105,-6,X
5000105,-7,0
5000105,-8,C
5000105,-9,C
5000105,-10,X
5000105,-11,C
5000105,-12,C
5000105,-13,0
5000105,-14,0
5000105,-15,C
5000105,-16,C
5000105,-17,C
5000106,0,0
5000106,-1,C
5000106,-2,1
5000106,-3,0
5000106,-4,C
5000106,-5,C
5000106,-6,C
5000106,-7,C
5000106,-8,C
5000106,-9,C
5000106,-10,C
5000106,-11,C
5000106,-12,0
5000106,-13,0
5000106,-14,0
5000106,-15,0
5000106,-16,C
5000106,-17,X
5000106,-18,C
5000106,-19,2
5000106,-20,X
5000106,-21,X
5000106,-22,C
5000106,-23,C
5000106,-24,C
5000106,-25,0
5000106,-26,C
5000106,-27,C
5000106,-28,2
5000106,-29,0
5000106,-30,C
5000106,-31,0
5000106,-32,C
5000106,-33,0
5000106,-34,C
5000106,-35,0
5000106,-36,C
5000106,-37,X
5000106,-38,C
5000106,-39,X
5000106,-40,C
5000106,-41,1
5000106,-42,X
5000106,-43,C
5000106,-44,X
