ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5000100,F,N,Y,0,174309.78,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18188,-10113,1,1,0,0,,2.0
5000101,M,N,Y,1,138369.31,Working,Secondary / secondary special,Married,With parents,-19605,-6288,1,0,0,0,Drivers,2.0
5000102,M,Y,Y,0,153181.98,State servant,Secondary / secondary special,Married,House / apartment,-21491,-8582,1,0,0,0,,2.0
5000103,F,N,Y,0,138005.98,Working,Incomplete higher,Married,With parents,-9322,-385,1,0,0,0,Core staff,2.0
5000104,F,Y,Y,0,191762.65,Commercial associate,Secondary / secondary special,Married,House / apartment,-7672,-923,1,0,0,0,Core staff,2.0
5000105,F,N,N,0,131746.64,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8848,-981,1,1,0,0,HR staff,2.0
5000106,F,Y,Y,0,92641.51,Pensioner,Secondary / secondary special,Married,With parents,-22522,365243,1,0,0,0,,2.0
5000107,M,Y,Y,0,161281.99,Working,Secondary / secondary special,Married,House / apartment,-19973,-9644,1,0,1,0,Core staff,1.0
5000108,F,N,N,0,181163.37,Commercial associate,Secondary / secondary special,Widow,House / apartment,-21097,-6257,1,0,1,0,Drivers,2.0
5000109,M,N,N,0,142663.75,Working,Secondary / secondary special,Civil marriage,House / apartment,-15979,-46,1,0,0,1,Cleaning staff,2.0
5000110,F,N,N,0,198440.14,Working,Higher education,Married,House / apartment,-16135,-3850,1,0,0,0,Laborers,2.0
5000111,M,Y,N,0,108816.45,Pensioner,Secondary / secondary special,Married,House / apartment,-12468,365243,1,0,0,0,,1.0
5000112,M,N,N,3,178375.3,State servant,Secondary / secondary special,Single / not married,House / apartment,-21214,-2190,1,0,0,0,Low-skill Laborers,4.0
5000113,F,Y,Y,0,191975.86,Commercial associate,Secondary / secondary special,Widow,House / apartment,-21005,-5774,1,0,1,0,Laborers,2.0
5000114,F,N,Y,1,134709.58,Working,Secondary / secondary special,Single / not married,House / apartment,-13973,-2402,1,1,0,0,,3.0
5000115,F,N,Y,1,93782.62,Pensioner,Secondary / secondary special,Married,House / apartment,-12962,365243,1,0,0,0,,3.0
5000116,F,N,Y,0,207190.58,Working,Higher education,Married,House / apartment,-19537,-2654,1,1,0,0,,2.0
5000117,F,N,Y,1,146863.51,Working,Secondary / secondary special,Married,House / apartment,-8091,-219,1,0,0,1,Core staff,3.0
5000118,F,N,Y,0,191034.52,Commercial associate,Higher education,Married,House / apartment,-21490,-10877,1,0,0,0,Core staff,2.0
5000119,F,Y,Y,0,208486.4,Working,Higher education,Married,House / apartment,-14842,-6249,1,0,0,0,Sales staff,2.0
5000120,F,Y,Y,0,128786.2,State servant,Secondary / secondary special,Married,House / apartment,-14763,-2196,1,0,0,0,Managers,2.0
5000121,F,N,Y,1,157226.44,Working,Secondary / secondary special,Married,House / apartment,-18423,-5885,1,0,1,0,,3.0
5000122,F,Y,N,0,137162.46,Working,Secondary / secondary special,Married,House / apartment,-18048,-5344,1,1,1,1,Private service staff,2.0
5000123,F,Y,Y,1,197248.67,Commercial associate,Secondary / secondary special,Married,House / apartment,-11945,-1931,1,0,0,0,Core staff,3.0
5000124,F,Y,N,0,193685.38,Commercial associate,Secondary / secondary special,Married,House / apartment,-22830,-4539,1,0,0,0,Core staff,2.0
5000125,M,N,Y,1,143793.33,Working,Secondary / secondary special,Married,House / apartment,-23522,-3182,1,0,0,0,Accountants,3.0
5000126,F,N,N,0,140616.92,Working,Secondary / secondary special,Civil marriage,With parents,-16123,-8339,1,0,1,0,Core staff,1.0
5000127,F,N,N,0,94655.4,Pensioner,Higher education,Single / not married,House / apartment,-16692,365243,1,0,0,0,,1.0
5000128,F,Y,Y,0,146859.85,Working,Secondary / secondary special,Married,House / apartment,-16579,-8342,1,0,0,0,Laborers,2.0
5000129,F,N,Y,0,137620.44,Working,Secondary / secondary special,Single / not married,House / apartment,-15477,-3735,1,0,1,1,High skill tech staff,1.0
5000130,F,N,Y,0,161755.67,Commercial associate,Secondary / secondary special,Married,House / apartment,-22860,-11755,1,0,0,0,Laborers,2.0
5000131,F,N,N,2,143487.04,Working,Secondary / secondary special,Single / not married,House / apartment,-11604,-2524,1,1,0,0,Sales staff,3.0
5000132,F,N,N,0,132879.5,State servant,Secondary / secondary special,Married,House / apartment,-9405,-275,1,0,0,0,Laborers,2.0
5000133,M,Y,N,2,282638.06,Commercial associate,Higher education,Married,House / apartment,-22609,-13193,1,0,0,0,Drivers,4.0
5000134,M,N,Y,0,238877.65,State servant,Higher education,Married,House / apartment,-11094,-1019,1,0,0,0,Core staff,1.0
5000135,M,N,Y,1,139197.18,Working,Secondary / secondary special,Married,House / apartment,-19710,-9295,1,0,0,0,Core staff,3.0
5000136,F,Y,N,0,149246.55,State servant,Secondary / secondary special,Married,House / apartment,-10947,-2323,1,0,0,1,Laborers,2.0
5000137,F,Y,Y,0,173106.43,Working,Secondary / secondary special,Single / not married,House / apartment,-23101,-11423,1,0,0,0,Sales staff,2.0
5000138,M,Y,Y,1,132394.51,Working,Secondary / secondary special,Married,House / apartment,-20384,-6526,1,0,1,0,Laborers,3.0
5000139,F,Y,Y,0,233477.85,Working,Higher education,Married,House / apartment,-22435,-11153,1,1,0,0,Core staff,1.0
5000140,F,Y,N,0,128278.75,Working,Incomplete higher,Single / not married,House / apartment,-22954,-572,1,0,0,0,Sales staff,2.0
5000141,F,N,Y,0,175260.56,Working,Secondary / secondary special,Married,House / apartment,-9027,-135,1,0,0,0,IT staff,2.0
5000142,F,N,Y,0,143545.28,Working,Secondary / secondary special,Married,House / apartment,-14635,-7228,1,1,0,1,Laborers,2.0
5000143,M,Y,Y,0,183435.66,Working,Secondary / secondary special,Married,House / apartment,-18086,-8639,1,1,0,0,Security staff,2.0
5000144,F,Y,N,1,175920.96,Working,Secondary / secondary special,Separated,House / apartment,-20567,-11598,1,0,0,0,Waiters/barmen staff,2.0
5000145,M,Y,Y,0,171209.49,Commercial associate,Secondary / secondary special,Married,House / apartment,-11551,-2292,1,0,1,0,Laborers,2.0
5000146,F,N,Y,0,152921.63,Working,Secondary / secondary special,Single / not married,House / apartment,-22369,-7279,1,0,0,0,,2.0
5000147,F,N,Y,0,173281.95,Commercial associate,Secondary / secondary special,Married,House / apartment,-11222,-2498,1,0,0,0,High skill tech staff,1.0
5000148,F,N,N,0,149982.77,Commercial associate,Secondary / secondary special,Married,House / apartment,-21591,-3686,1,0,0,0,,2.0
5000149,F,N,N,0,106032.95,Pensioner,Secondary / secondary special,Married,House / apartment,-15910,365243,1,1,0,0,,2.0
5000150,M,N,N,1,164866.07,Working,Secondary / secondary special,Married,House / apartment,-15954,-6889,1,0,0,0,Waiters/barmen staff,2.0
5000151,M,Y,Y,1,161110.26,State servant,Secondary / secondary special,Single / not married,House / apartment,-13681,-5900,1,0,1,0,Laborers,3.0
5000152,M,N,N,0,176606.56,Commercial associate,Secondary / secondary special,Married,House / apartment,-9334,-2506,1,0,0,0,Security staff,2.0
5000153,M,N,Y,1,153081.01,State servant,Secondary / secondary special,Single / not married,House / apartment,-13248,-3468,1,0,0,0,Accountants,3.0
5000154,F,N,Y,0,161891.48,Working,Incomplete higher,Married,House / apartment,-14528,-3318,1,0,0,0,High skill tech staff,2.0
5000155,M,Y,Y,1,172396.33,Commercial associate,Secondary / secondary special,Married,House / apartment,-15369,-7313,1,1,1,0,Security staff,3.0
5000156,F,N,Y,0,128247.33,Pensioner,Higher education,Married,House / apartment,-19548,365243,1,0,1,0,,2.0
5000157,F,N,N,0,162773.22,Working,Secondary / secondary special,Single / not married,House / apartment,-13328,-5092,1,1,0,0,Managers,1.0
5000158,F,N,Y,0,171970.46,Commercial associate,Secondary / secondary special,Married,House / apartment,-14205,-6622,1,0,0,0,Drivers,2.0
5000159,F,N,Y,0,91899.73,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-22232,365243,1,0,1,0,,2.0
